beds,baths,size,size_units,lot_size,lot_size_units,zip_code,latitudes,longitudes,price
2,2.5,1475.0,sqft,3753.0,sqft,98103,47.6733,-122.3426,945000.0
4,1.0,2290.0,sqft,2703.0,sqft,98103,47.6733,-122.3426,905000.0
3,2.5,1820.0,sqft,1595.0,sqft,98103,47.6733,-122.3426,990000.0
2,1.0,1200.0,sqft,6200.0,sqft,98103,47.6733,-122.3426,1025100.0
3,2.0,1340.0,sqft,2211.0,sqft,98103,47.6733,-122.3426,925000.0
3,2.0,1350.0,sqft,1055.0,sqft,98103,47.6733,-122.3426,785000.0
3,3.0,1650.0,sqft,1376.0,sqft,98103,47.6733,-122.3426,974999.0
3,1.0,1430.0,sqft,2280.0,sqft,98103,47.6733,-122.3426,980000.0
7,6.0,7636.0,sqft,8625.0,sqft,98103,47.6733,-122.3426,2225000.0
3,3.0,1650.0,sqft,1622.0,sqft,98103,47.6733,-122.3426,950000.0
5,6.0,6990.0,sqft,4703.0,sqft,98103,47.6733,-122.3426,1880000.0
3,2.0,2120.0,sqft,6400.0,sqft,98103,47.6733,-122.3426,1130000.0
1,1.0,250.0,sqft,250.0,acre,98103,47.6733,-122.3426,159000.0
3,3.5,2206.0,sqft,1500.0,sqft,98103,47.6733,-122.3426,1116000.0
2,2.0,1036.0,sqft,656.0,sqft,98103,47.6733,-122.3426,789950.0
2,2.0,1201.0,sqft,720.0,sqft,98103,47.6733,-122.3426,699950.0
3,2.5,1860.0,sqft,1063.0,sqft,98103,47.6733,-122.3426,1025000.0
5,2.0,2740.0,sqft,2850.0,sqft,98103,47.6733,-122.3426,1175000.0
3,3.0,1280.0,sqft,2600.0,sqft,98103,47.6733,-122.3426,900000.0
2,2.0,1192.0,sqft,928.0,sqft,98103,47.6733,-122.3426,719950.0
3,1.5,1640.0,sqft,5196.0,sqft,98103,47.6733,-122.3426,1060000.0
2,1.5,1120.0,sqft,966.0,sqft,98103,47.6733,-122.3426,605000.0
3,2.5,1360.0,sqft,1248.0,sqft,98103,47.6733,-122.3426,700000.0
1,1.0,564.0,sqft,100.0,acre,98103,47.6733,-122.3426,602000.0
4,3.5,2640.0,sqft,3062.0,sqft,98103,47.6733,-122.3426,1750000.0
2,2.0,993.0,sqft,0.24,acre,98103,47.6733,-122.3426,709600.0
5,3.5,3220.0,sqft,4640.0,sqft,98103,47.6733,-122.3426,820000.0
4,3.5,1909.0,sqft,1544.0,sqft,98103,47.6733,-122.3426,1500000.0
3,2.5,3590.0,sqft,4250.0,sqft,98103,47.6733,-122.3426,1725000.0
2,2.0,1131.0,sqft,0.43,acre,98103,47.6733,-122.3426,470000.0
3,2.5,1815.0,sqft,1500.0,sqft,98103,47.6733,-122.3426,1295000.0
3,1.5,1220.0,sqft,6350.0,sqft,98103,47.6733,-122.3426,599000.0
2,1.0,1060.0,sqft,3250.0,sqft,98103,47.6733,-122.3426,900000.0
4,2.5,3198.0,sqft,5000.0,sqft,98103,47.6733,-122.3426,1712000.0
4,3.5,1824.0,sqft,3250.0,sqft,98103,47.6733,-122.3426,1299000.0
2,1.0,1011.0,sqft,0.24,acre,98103,47.6733,-122.3426,159488.0
3,2.0,1370.0,sqft,3060.0,sqft,98103,47.6733,-122.3426,1270000.0
2,2.0,1620.0,sqft,3090.0,sqft,98103,47.6733,-122.3426,835000.0
3,1.0,980.0,sqft,3000.0,sqft,98103,47.6733,-122.3426,500000.0
4,3.5,2960.0,sqft,4500.0,sqft,98103,47.6733,-122.3426,1700000.0
3,2.0,1608.0,sqft,1568.0,sqft,98103,47.6733,-122.3426,732000.0
2,1.5,950.0,sqft,1.0,acre,98103,47.6733,-122.3426,1270000.0
2,1.5,912.0,sqft,1.0,acre,98103,47.6733,-122.3426,819980.0
4,2.0,1660.0,sqft,2280.0,sqft,98103,47.6733,-122.3426,1127500.0
4,2.0,1550.0,sqft,6000.0,sqft,98103,47.6733,-122.3426,1325000.0
4,2.0,2570.0,sqft,4800.0,sqft,98103,47.6733,-122.3426,1495000.0
4,3.0,2480.0,sqft,4000.0,sqft,98103,47.6733,-122.3426,1605000.0
3,2.0,1300.0,sqft,2250.0,sqft,98103,47.6733,-122.3426,735000.0
2,2.0,881.0,sqft,6000.0,sqft,98103,47.6733,-122.3426,550000.0
2,2.5,1966.0,sqft,1412.0,sqft,98103,47.6733,-122.3426,1495000.0
3,3.5,1150.0,sqft,1199.0,sqft,98103,47.6733,-122.3426,625000.0
1,1.0,830.0,sqft,5100.0,sqft,98103,47.6733,-122.3426,695000.0
3,3.5,1800.0,sqft,1545.0,sqft,98103,47.6733,-122.3426,750000.0
