beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price,lat,lon
3,3.5,2480,sqft,2400.0,sqft,98119,1795000,47.6379,-122.3643
5,3.0,2777,sqft,7026.0,sqft,98125,1338600,47.717,-122.3015
2,2.0,1170,sqft,588.0,sqft,98144,624999,47.5846,-122.3005
3,1.0,1430,sqft,2280.0,sqft,98103,980000,47.6733,-122.3426
2,5.5,1320,sqft,1250.0,sqft,98144,679950,47.5846,-122.3005
2,2.0,2170,sqft,5250.0,sqft,98116,893000,47.5746,-122.3934
3,1.5,1630,sqft,6615.0,sqft,98115,895000,47.6849,-122.2968
2,2.0,1900,sqft,2164.0,sqft,98122,1310000,47.6116,-122.3056
3,2.0,1760,sqft,4000.0,sqft,98106,689000,47.5344,-122.3547
3,2.5,1712,sqft,1514.0,sqft,98107,970000,47.6701,-122.3763
4,2.5,3190,sqft,5500.0,sqft,98102,1820000,47.6302,-122.321
4,3.5,3590,sqft,4000.0,sqft,98109,2900000,47.6339,-122.3476
1,1.0,630,sqft,4895.0,sqft,98133,255000,47.7377,-122.3431
5,2.0,1830,sqft,5220.0,sqft,98118,665000,47.5412,-122.275
2,1.0,760,sqft,3072.0,sqft,98144,250000,47.5846,-122.3005
3,2.5,2600,sqft,5100.0,sqft,98117,1148000,47.6873,-122.3772
3,2.0,2130,sqft,4850.0,sqft,98107,990200,47.6701,-122.3763
3,3.5,2899,sqft,5346.0,sqft,98199,1800000,47.6488,-122.3964
3,1.0,1090,sqft,13503.6,sqft,98178,400000,47.4924,-122.2359
4,4.0,3360,sqft,5000.0,sqft,98107,1200000,47.6701,-122.3763
4,2.5,2240,sqft,5229.0,sqft,98117,1050000,47.6873,-122.3772
2,1.0,886,sqft,8863.0,sqft,98112,620000,47.6301,-122.2972
3,2.0,1560,sqft,4960.0,sqft,98106,799000,47.5344,-122.3547
4,2.0,1730,sqft,8100.0,sqft,98146,852000,47.4995,-122.3603
